movie_id,title,genres
1,The Dark Knight,Action|Crime|Drama
2,Interstellar,Adventure|Drama|Sci-Fi
3,Toy Story,Animation|Comedy|Family
4,Inception,Action|Sci-Fi|Thriller
5,Black Panther,Action|Adventure|Sci-Fi
6,The Matrix,Action|Sci-Fi
7,Finding Nemo,Animation|Adventure|Comedy
8,Avengers Endgame,Action|Adventure|Sci-Fi
9,Joker,Crime|Drama|Thriller
10,Shrek,Animation|Comedy|Fantasy
11,Batman Begins,Action|Crime|Drama
12,Spider-Man Into the Spider-Verse,Animation|Action|Adventure
13,Guardians of the Galaxy,Action|Adventure|Comedy
14,The Lion King,Animation|Adventure|Drama
15,Get Out,Horror|Mystery|Thriller
16,Parasite,Comedy|Drama|Thriller
17,The Godfather,Crime|Drama
18,Forrest Gump,Drama|Romance
19,The Social Network,Drama
20,Inside Out,Animation|Adventure|Comedy
